"","X","Y","Z"
"47609",1.2954683,1.1710836,2.7932319
"34077",0.9594442592,2.961997,3.0859453
"49335",1.2968789,3.033588,2.3665276
"30769",0.6320245,2.5081898,2.62821176
"41473",0.92677519,2.889341,2.2133414
"23380",1.3638109,1.81006887,2.3057691
"43246",1.02788595,2.892002,1.181502
"42362",1.04039561,2.984453,1.5458785
"45484",1.3224202,0.426019,2.9644198
"11525",1.3151124,1.0597658,0.85416
"8356",0.90081668,2.915988,3.1270573
"45414",1.4402855,1.78640193,2.8491363
"34986",1.2393764,2.83935,2.2865637
"20713",0.3045899,2.1830473,0.860142
"18884",0.7524515,2.75839,0.976157000000001
"38987",1.0756801,2.6754811,2.7493031
"38705",1.0903494,2.770819,2.8110569
"4938",1.1300519,2.5309468,3.5020353
"15897",0.6103177,0.9558389,0.612766000000001
"4405",1.0753024,2.5931648,3.3775196
"48916",1.2913264,1.3625677,2.6593797
"489",1.0768642,2.387062,3.3766505
"36654",0.89970185,2.6855129,2.7116462
"45991",1.5176183,2.1646792,2.6938113
"35947",1.0497017,2.949026,1.9437304
"27547",0.4790307,2.6167172,2.0432181
"19646",0.7103177,2.5137895,0.853603
"34390",1.03206477,3.000814,2.9821461
"16586",1.02531402,2.7111223,1.162129
"27629",0.5244351,2.756493,2.0839204
"7187",1.2554763,3.25956,3.2045638
"8359",0.93651439,2.958188,3.1090575
"40129",1.01162146,3.194401,2.58784366
"33827",0.6149923,1.3112987,2.4114086
"5356",0.3535159,1.9980073,4.287963
"30356",0.6868519,0.155232,2.367704
"5104",1.1605496,3.304953,3.4330977
"10785",1.3195494,0.152182,0.816169
"21981",1.2329186,1.8939452,2.57617045
"16869",1.01062921,2.801056,1.020837
"8054",0.88096038,3.223902,3.1704475
"28735",0.3703008,2.6214753,1.383154
"32136",0.5836852,1.8722514,2.7337637
"38103",0.88795559,2.994139,2.0834348
"717",0.8423761,2.5122984,3.3647606
"596",0.97438777,2.4486286,3.3750253
"32223",0.5467842,1.8840564,2.59619412
"42871",0.99708728,3.046499,1.6044096
"48762",1.3981392,1.2522847,2.55986811
"28478",0.7045268,2.897156,1.255361
"6511",1.03400246,2.6579856,3.3143063
"40875",0.93277286,2.931816,2.2960256
"5685",1.0487218,3.428868,3.3534824
"8172",0.7824853,2.904185,3.196403
"10687",1.4366363,0.147469,0.863419
"10627",1.3520107,0.128171,0.960744999999999
"21880",0.7958198,1.79889426,2.544867367
"49506",1.2229333,0.0963139999999996,3.0812523
"3133",0.894533,2.6020522,3.3811092
"1056",0.808209,2.6856266,3.1926943
"23078",0.94833284,1.9649363,2.8221892
"23397",1.5079758,1.9567398,2.1446683
"19309",0.7026634,2.684516,0.938196
